fullName,owner,name,stars,inDeg,pagerank,daysSinceUpdate,latestToolchain,repoUrl,composite_rank
bergmannjg/Curl,bergmannjg,Curl,14,1,0.001600391635088692,44,leanprover/lean4:v4.27.0,https://github.com/bergmannjg/leanCurl,182.66666666666666
NethermindEth/CompPoly,NethermindEth,CompPoly,10,0,0.0008650948644855007,24,leanprover/lean4:v4.22.0-rc2,https://github.com/NethermindEth/CompPoly,183.33333333333334
b-mehta/ABCExceptions,b-mehta,ABCExceptions,20,0,0.0008650948644855007,42,leanprover/lean4:v4.21.0-rc3,https://github.com/b-mehta/ABC-Exceptions,185.0
dwrensha/rupert,dwrensha,rupert,17,0,0.0008650948644855007,39,leanprover/lean4:v4.28.0,https://github.com/dwrensha/Rupert.lean,187.0
intgrah/qdt,intgrah,qdt,8,0,0.0008650948644855007,21,leanprover/lean4:v4.28.0,https://github.com/intgrah/qdt,187.66666666666666
FormalizedFormalLogic/arithmetization,FormalizedFormalLogic,arithmetization,14,1,0.0009319400254494272,36,leanprover/lean4:v4.17.0-rc1,https://github.com/FormalizedFormalLogic/Arithmetization,189.0
kbuzzard/ClassFieldTheory,kbuzzard,ClassFieldTheory,13,0,0.0008650948644855007,33,leanprover/lean4:v4.29.0,https://github.com/kbuzzard/ClassFieldTheory,190.0
T-Brick/wasm,T-Brick,wasm,30,0,0.0008650948644855007,57,leanprover/lean4:v4.25.0,https://github.com/T-Brick/lean-wasm,190.0
lenianiva/Prismriver,lenianiva,Prismriver,17,0,0.0008650948644855007,42,leanprover/lean4:v4.28.0,https://github.com/lenianiva/Prismriver,190.33333333333334
dwrensha/maze,dwrensha,maze,69,0,0.0008650948644855007,90,leanprover/lean4:v4.22.0-rc2,https://github.com/dwrensha/lean4-maze,190.33333333333334
FormalSAT/trestle,FormalSAT,trestle,23,0,0.0008650948644855007,51,leanprover/lean4:v4.21.0,https://github.com/FormalSAT/trestle,190.33333333333334
VCA-EPFL/leanses,VCA-EPFL,leanses,16,0,0.0008650948644855007,39,leanprover/lean4:nightly-2025-06-05,https://github.com/VCA-EPFL/leanses,191.0
rupakm/leslie,rupakm,leslie,4,0,0.0008650948644855007,16,leanprover/lean4:v4.27.0,https://github.com/rupakm/leslie,191.33333333333334
lexzaiello/Dcc,lexzaiello,Dcc,4,0,0.0008650948644855007,16,leanprover/lean4:v4.26.0,https://github.com/lexzaiello/DCC,191.33333333333334
argumentcomputer/Megaparsec.lean,argumentcomputer,Megaparsec.lean,35,0,0.0008650948644855007,68,leanprover/lean4:v4.0.0,https://github.com/argumentcomputer/Megaparsec.lean,191.66666666666666
pitmonticone/ItaLean,pitmonticone,ItaLean,23,0,0.0008650948644855007,52,leanprover/lean4:v4.26.0-rc2,https://github.com/pitmonticone/ItaLean2025,191.66666666666666
sorrachai/FAA2025,sorrachai,FAA2025,11,0,0.0008650948644855007,30,leanprover/lean4:v4.22.0-rc3,https://github.com/sorrachai/FAA2025,191.66666666666666
varosi/bitmap,varosi,bitmap,3,0,0.0008650948644855007,15,leanprover/lean4:v4.29.0,https://github.com/varosi/Bitmap,192.0
cameronfreer/exchangeability,cameronfreer,exchangeability,9,0,0.0008650948644855007,25,leanprover/lean4:v4.27.0-rc1,https://github.com/cameronfreer/exchangeability,192.66666666666666
goens/lost-pop-lean,goens,lost-pop-lean,9,0,0.0008650948644855007,25,leanprover/lean4:v4.29.0,https://github.com/goens/lost-pop-lean,192.66666666666666
YaelDillies/Toric,YaelDillies,Toric,12,0,0.0008650948644855007,33,leanprover/lean4:v4.30.0-rc1,https://github.com/YaelDillies/toric,194.0
riccardobrasca/FLT3,riccardobrasca,FLT3,41,0,0.0008650948644855007,77,leanprover/lean4:v4.9.0-rc3,https://github.com/riccardobrasca/flt3,195.0
siddhartha-gadgil/LeanLangur,siddhartha-gadgil,LeanLangur,7,0,0.0008650948644855007,21,leanprover/lean4:v4.29.0,https://github.com/siddhartha-gadgil/LeanLangur,195.33333333333334
0art0/lean-slides,0art0,lean-slides,25,0,0.0008650948644855007,63,leanprover/lean4:v4.29.0-rc6,https://github.com/0art0/lean-slides,196.0
haskell-spec/haskell-spec,haskell-spec,haskell-spec,32,0,0.0008650948644855007,72,leanprover/lean4:v4.22.0-rc4,https://github.com/haskell-spec/haskell-spec,196.66666666666666
oliver-butterley/SpectralThm,oliver-butterley,SpectralThm,9,0,0.0008650948644855007,28,leanprover/lean4:v4.27.0-rc1,https://github.com/oliver-butterley/SpectralThm,198.33333333333334
math-xmum/GameTheory,math-xmum,GameTheory,8,0,0.0008650948644855007,24,leanprover/lean4:v4.24.0-rc1,https://github.com/math-xmum/gametheory,198.33333333333334
madvorak/chomsky,madvorak,chomsky,9,1,0.0012327432497870963,35,leanprover/lean4:v4.18.0,https://github.com/madvorak/chomsky,200.0
verse-lab/ssreflect,verse-lab,ssreflect,43,0,0.0008650948644855007,89,leanprover/lean4:v4.26.0,https://github.com/verse-lab/lean-ssr,201.33333333333334
tydeu/itertools,tydeu,itertools,15,0,0.0008650948644855007,44,leanprover/lean4:v4.3.0,https://github.com/tydeu/lean4-itertools,201.33333333333334
girving/ray,girving,ray,29,2,0.0009932147563330262,87,leanprover/lean4:v4.27.0-rc1,https://github.com/girving/ray,201.33333333333334
WuProver/MonomialOrderedPolynomial,WuProver,MonomialOrderedPolynomial,11,0,0.0008650948644855007,34,leanprover/lean4:v4.29.0-rc8,https://github.com/WuProver/MonomialOrderedPolynomial,201.66666666666666
ValorZard/SDL3,ValorZard,SDL3,17,1,0.001600391635088692,80,leanprover/lean4:v4.23.0,https://github.com/ValorZard/lean-sdl3,201.66666666666666
leanprover/SHerLOC,leanprover,SHerLOC,21,2,0.00109255628138504,80,leanprover/lean4:v4.20.0,https://github.com/leanprover/SHerLOC,202.33333333333334
logical-intelligence/Putnam,logical-intelligence,Putnam,21,0,0.0008650948644855007,59,leanprover/lean4:v4.26.0-rc2,https://github.com/logical-intelligence/proofs,202.33333333333334
alok/lean-inf,alok,lean-inf,10,0,0.0008650948644855007,32,leanprover/lean4:v4.12.0-rc1,https://github.com/alok/lean-inf,204.0
